,products,product,title,subTitle,currencyAmount,currencyType,displayPrice,isDomestic,id,price,productSellerCode,approvalStatus,saleStatus,stockItems,bundle,currencyAmount,displayPrice,optionPrice,attributes,id,quantity,version
37,,,Punto Servis Seti 6 Parça,,68.50,1,68.50,false,391441748,68.50,70651448,1,2,"
                        ",,68.50,68.50,,,391441748,,
38,,,Pembe Panter Müzik kutusu,,56.40,1,56.40,false,391441614,56.40,70651323,1,2,"
                        ",,56.40,56.40,,,391441614,,
39,,,Objektif Lens Termos Bardak,,61.00,1,61.00,false,391441445,61.00,70651321,1,2,"
                        ",,61.00,61.00,,,391441445,,
40,,,Mimo Masaj Aleti,,24.40,1,24.40,false,391441396,24.40,70651315,1,2,"
                        ",,24.40,24.40,,,391441396,,
41,,,Objektif Görünümlü Termos Bardak,,61.00,1,61.00,false,391441385,61.00,70651320,1,2,"
                        ",,61.00,61.00,,,391441385,,
42,,,Konserve - Venüs (Et Obur Bitki) Yetiştirme Kiti,,33.80,1,33.80,false,391441212,33.80,70651419,1,2,"
                        ",,33.80,33.80,,,391441212,,
43,,,Konserve - Domates (Çeri) Yetiştirme Kiti,,33.80,1,33.80,false,391441211,33.80,70651416,1,2,"
                        ",,33.80,33.80,,,391441211,,
44,,,Konserve - Salatalık (Çengelköy) Yetiştirme Kiti,,33.80,1,33.80,false,391441196,33.80,70651417,1,2,"
                        ",,33.80,33.80,,,391441196,,
45,,,Kirpi ve Sincap Balon Lamba,,77.50,1,77.50,false,391441192,77.50,70651460,1,2,"
                        ",,77.50,77.50,,,391441192,,
46,,,Köpek Diş Fırçası Isırma Aparatı Büyük Boy,,28.00,1,28.00,false,391441182,28.00,70651458,1,2,"
                        ",,28.00,28.00,,,391441182,,
47,,,Konserve - Çilek (Yediveren) Yetiştirme Kiti,,33.80,1,33.80,false,391441170,33.80,70651420,1,2,"
                        ",,33.80,33.80,,,391441170,,
48,,,Konserve - Acı Biber (Saksı Biberi) Yetiştirme Kiti,,33.80,1,33.80,false,391441168,33.80,70651418,1,2,"
                        ",,33.80,33.80,,,391441168,,
49,,,Kemik Şekilli Köpek Diş Fırçası Isırma Aparatı,,26.20,1,26.20,false,391441122,26.20,70651457,1,2,"
                        ",,26.20,26.20,,,391441122,,
50,,,Kefo Elektrikli Ocak Rezistansı,,58.00,1,58.00,false,391441062,58.00,70651462,1,2,"
                        ",,58.00,58.00,,,391441062,,
51,,,Kaktüs Görünümlü Kupa Bardak,,61.00,1,61.00,false,391441014,61.00,70651374,1,2,"
                        ",,61.00,61.00,,,391441014,,
52,,,Hydra Roller 0.50 mm 64 Altın İğneli Dermaroller,,77.50,1,77.50,false,391440919,77.50,70651381,1,2,"
                        ",,77.50,77.50,,,391440919,,
53,,,G tipi 3lü Mini Mengene Seti,,45.20,1,45.20,false,391440634,45.20,70651465,1,2,"
                        ",,45.20,45.20,,,391440634,,
54,,,Dönen Star Master Renkli Yıldızlı Gökyüzü Projeksiyo,,77.50,1,77.50,false,391440463,77.50,70651380,1,2,"
                        ",,77.50,77.50,,,391440463,,
55,,,Elektrikli Nargile Ocak Galvaniz,,77.50,1,77.50,false,391440430,77.50,70651461,1,2,"
                        ",,77.50,77.50,,,391440430,,
56,,,Dekoratif Kelebek Şeklinde Led Lamba,,44.00,1,44.00,false,391440405,44.00,70651432,1,2,"
                        ",,44.00,44.00,,,391440405,,
